44,-83,-226,2161,3112,19963
45,-77,-234,2126,3149,19810
18,-65,-227,2109,3177,19708
11,-71,-217,2135,3208,19574
23,-75,-227,2137,3305,19425
-10,-86,-237,2113,3638,19400
-28,-75,-237,2222,3753,19383
-21,-87,-210,2364,3843,19496
-9,-68,-195,2515,3911,19622
-29,-71,-183,2726,4029,19770
-15,-53,-187,2880,4219,19940
-25,-67,-226,3020,4418,20168
-37,-50,-240,3151,4713,20440
-10,-56,-220,3197,4947,20673
-3,-45,-243,3186,5069,20817
12,-60,-221,3205,5141,20781
-1159,-1122,2463,6701,6814,28808
-5251,-797,3818,22993,67,32767
-3217,-4118,3000,17375,-292,32767
-2780,-3431,3055,17714,-32768,32767
-4074,-1055,2932,24426,-32768,13870
-1595,-950,394,20208,-32768,-15371
-1106,336,486,25813,-32768,-10361
-1758,1370,46,18406,-32083,10219
303,-25,945,20513,-24825,17739
469,-285,718,7252,-32768,12092
396,-740,-389,-11999,-32768,3975
-124,-804,856,-23737,-32768,-8806
699,-1426,1444,-32768,-32768,-16318
171,-717,7365,-29926,-25365,-18405
-35,-1727,3237,-16895,-20353,-16286
-1427,-3318,1509,-10032,-14051,-13329
-937,-2564,3060,14647,-7450,-6358
-1458,-1751,3607,28550,3684,2422
-1650,-974,2845,24900,12750,10223
-1633,-826,2723,10016,23908,5282
-2894,-2202,4311,-12892,21530,-473
-3584,-2831,4034,-9772,7785,-7712
-3824,-2204,3314,277,-10478,-9279
-2769,-1931,2950,5892,-21604,-6234
-2550,-1558,2228,10372,-26143,-5827
-2218,-1357,2364,9233,-21715,-4879
-2155,-1472,2993,7418,-14920,-4731
-2567,-1531,3596,7107,-7462,-2492
-2670,-1659,3880,10150,-3007,1739
-2612,-1547,3651,12450,-3237,884
-2369,-1183,2994,10673,-5934,-835
-1921,-1124,3006,7081,-8034,-5119
-1722,-1346,3012,3557,-8619,-10919
-1776,-1486,3260,788,-8460,-11770
-1583,-1613,3204,-998,-8780,-11107
-1517,-1497,3304,866,-7405,-9488
-1453,-1403,3119,3511,-5962,-5805
-1364,-1299,2839,3127,-4628,-2223
-1305,-1322,2751,2986,-2919,55
-1280,-1319,2745,3357,-2190,1342
-1214,-1161,2840,5604,-2403,1208
-988,-1072,2660,6930,-2357,-1377
-770,-846,2378,4428,-4191,-5232
-592,-770,1978,202,-6642,-7981
-565,-642,1728,-2791,-8282,-9892
-448,-716,1738,-3989,-9950,-10473
-567,-665,1790,-2157,-10303,-8082
-383,-623,1816,3095,-10147,-4865
-273,-499,1586,7205,-9662,-3029
-18,-457,1525,7842,-7954,-799
154,-599,1364,4220,-6938,-1751
275,-739,1274,-2858,-6709,-5582
286,-625,1307,-8205,-7690,-8929
148,-549,1300,-9425,-7911,-10567
300,-824,1266,-8512,-7108,-12348
